Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.60231,-122.67037,0.22,0.53,0.26,0.74,0.19,1.98,75.5,2250,4.05,85.1,162.1,55.1,166,34.6,44.1,787,634,5.65,1.11,1.09,14.1,0.63
45.51134,-122.54302,0.14,0.34,0.11,0.35,0.09,0.63,43,813,2.29,9.7,50.9,4.3,131,28,36.3,449,331,1.45,0.55,0.14,4.1,0.27
45.58499,-122.71017,0.27,0.57,0.19,0.7,0.15,1.66,235.5,1293,3.16,15,65.3,30.4,118,47.1,154.3,549,443,4.11,0.58,0.25,5.6,0.4
45.50124,-122.62694,0.15,0.45,0.1,0.38,0.09,0.59,75,1176,2.89,12.3,53.9,8.3,160,21.6,35.9,630,526,1.83,0.79,0.27,10.8,0.34
45.48577,-122.7404,0.19,0.53,0.12,0.43,0.1,0.5,119.3,673,1.3,8,51.2,8.5,140,28.1,37.6,309,358,1.55,0.41,0.21,3.2,BD
45.49453,-122.71698,0.18,0.44,0.13,0.65,0.1,0.43,33.6,611,0.82,357.3,43.9,16.4,108,48.6,56.1,320,395,1.37,0.31,0.15,4.9,0.26
45.54184,-122.66452,0.19,0.47,0.17,0.76,0.15,0.6,38.3,1153,2.25,18.2,79.3,43.4,118,50.1,50.7,538,540,2.74,0.74,0.66,12,BD
45.51748,-122.72871,0.18,0.38,0.14,0.4,0.09,0.08,60.4,664,1.48,6.4,44.9,4.6,133,29.7,31.8,249,292,1.7,0.34,0.17,3.6,BD
45.57101,-122.65191,0.15,0.5,0.15,0.44,0.12,0.76,73.4,992,1.85,22.3,56.2,11.3,143,30.7,36.4,429,371,2.18,0.53,0.23,10.8,0.3
45.50127,-122.62727,0.2,0.53,0.13,0.52,0.09,0.52,84,1114,2.77,10.6,46.8,26.4,148,27.3,31.3,601,482,1.78,0.71,0.3,7.9,0.44
45.46667,-122.58467,0.27,0.58,0.18,0.6,0.1,0.76,28.4,784,2.56,9.7,29,32.6,124,31.9,38.8,442,450,1.7,0.58,0.12,3,0.26
45.45405,-122.51686,0.22,0.68,0.16,0.38,0.09,0.51,292.8,759,1.79,8.9,47.3,9.4,383,17.9,27.9,446,553,1.68,0.54,0.14,2.3,BD
45.47129,-122.57483,0.25,0.55,0.19,0.54,0.12,0.64,33.4,897,3.14,8.8,57.6,26.6,224,35.9,41,496,548,1.74,0.67,0.14,8.4,BD
45.54122,-122.66386,0.23,0.62,0.15,0.4,0.14,0.26,202.3,902,3.48,13.7,139.9,18.4,205,23.6,43.3,424,416,2.21,0.65,0.55,10.6,BD
45.53746,-122.56834,0.4,0.65,0.22,0.78,0.19,0.48,60.8,1222,2.62,20.6,68.4,26.1,110,54,175,573,495,2.69,0.75,1.08,5.1,0.3
45.52763,-122.62106,0.31,0.59,0.19,0.83,0.16,0.37,76.3,1011,2.15,14.2,67.8,46,123,44.5,64.5,517,626,1.99,0.54,0.34,13.8,BD
45.54196,-122.49547,0.24,0.6,0.16,0.67,0.13,1.12,33,1312,2.14,16.9,83.6,33.5,153,54.6,64.2,637,478,3.02,0.75,0.3,3.7,0.42
45.52538,-122.49338,0.22,0.43,0.13,0.49,0.1,0.55,35.8,880,1.71,23.8,115.6,8.7,95,34,30.9,478,433,1.91,0.52,0.1,7.3,BD
45.43309,-122.65384,0.19,0.47,0.14,0.38,0.09,0.61,38.2,511,1.57,9.3,41.1,9.6,124,21.2,33.9,259,369,1.16,0.37,0.18,2.9,BD
45.51209,-122.51412,0.18,0.42,0.11,0.49,0.14,0.49,40.7,848,1.45,7.9,30,9.4,102,37.6,38.9,472,319,1.44,0.46,0.08,6.1,0.29
45.54732,-122.62629,0.26,0.47,0.2,0.59,0.17,0.51,90,1412,4.88,16.1,72.8,20.6,127,27.8,57.7,719,714,3.12,0.89,0.21,14.4,0.34
45.45569,-122.60137,0.18,0.5,0.21,0.39,0.08,0.78,94.2,516,6.47,7.5,44.4,7,127,25.4,28.6,312,392,1.81,0.82,0.17,2.6,BD
45.49625,-122.4898,0.22,0.36,0.12,0.44,0.09,0.46,72,1047,1.27,8.8,47.2,10.4,117,31.4,40,648,402,1.46,0.57,0.08,4.9,BD
45.54196,-122.49547,0.27,0.57,0.2,0.64,0.15,1.55,52.9,2241,3.32,23.9,116.4,27.1,161,57.7,82.7,1079,645,4.66,1.21,0.45,6.5,0.45
45.45495,-122.7436,0.17,0.5,0.14,0.28,0.12,0.65,145.4,1558,1.85,14.9,194.1,4.8,176,22.5,46.4,666,623,1.95,0.8,0.34,8.7,BD
45.51789,-122.63825,0.17,0.43,0.22,0.78,0.12,BD,84.2,518,1.56,78.9,161.2,60.2,62,45.7,37.1,287,389,1.26,0.29,0.56,4.8,0.28
45.57019,-122.65226,0.18,0.49,0.13,0.72,0.13,0.87,53.7,1290,2.21,27.6,60.2,29.1,152,46.9,81.2,670,560,2.67,0.64,0.31,8.2,0.32
45.54775,-122.60657,0.28,0.6,0.2,0.41,0.13,BD,33.3,792,1.94,12,77.5,7.6,128,25.4,22.4,424,475,1.63,0.5,0.35,6.3,BD
45.53133,-122.61123,0.38,0.65,0.19,0.87,0.18,0.18,34.5,883,1.63,19.8,49.8,65.2,133,40.6,79.2,525,627,1.82,0.54,0.71,7.3,BD
45.50535,-122.55064,0.2,0.44,0.22,0.67,0.11,0.45,181.9,753,1.75,7.3,45.3,45.7,80,35.5,81.9,449,599,1.7,0.73,0.15,3.6,0.45
45.47364,-122.54831,0.15,0.35,0.18,0.61,0.13,0.85,35.9,1313,2.52,52.3,69.6,33,114,64.1,74.6,691,300,2.21,0.76,0.17,5.9,BD
45.53931,-122.66169,0.31,0.93,0.15,0.59,0.15,1.14,64,1676,2.87,26.8,118.7,44,201,43,74.8,694,750,3.86,0.89,0.57,17,BD
45.50851,-122.65086,0.18,0.57,0.1,0.35,0.09,0.66,57.7,730,2.27,10.2,64,13,190,20.1,32.7,357,358,1.93,0.52,0.8,13.2,BD
45.47747,-122.51351,0.14,0.32,0.14,0.46,0.11,0.68,77.4,1225,1.78,20.3,112.3,9.9,146,113.8,58.5,689,424,1.79,0.79,0.15,5.2,BD
