Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.50232,-122.58188,0.32,0.64,0.22,0.53,0.14,0.68,84.1,983,4.08,10.8,49.1,39.3,107,36.1,50.6,489,366,1.95,0.62,0.18,3.5,0.34
45.55831,-122.61845,0.27,0.87,0.2,0.33,0.14,0.56,143.7,752,1.96,11.7,93.6,25.7,259,20.6,39.6,360,252,1.58,0.52,0.28,6.1,0.24
45.56746,-122.60368,0.27,0.91,0.23,0.67,0.21,2.37,129.9,4803,8.1,88.5,203.1,34.3,230,66.2,98.4,1713,499,10.04,2.52,1.08,23.3,0.73
45.47369,-122.67464,0.12,0.35,0.09,0.58,0.12,0.99,38.3,1190,2.29,12.2,68.3,11.9,92,29,33.9,513,424,2.67,0.64,0.27,5.9,0.47
45.4956,-122.50134,0.24,0.64,0.18,0.42,0.14,0.94,139.1,2774,3.7,15.5,99.6,22.4,212,36.6,70.5,1419,452,4.69,1.35,0.23,8.2,0.28
45.54055,-122.5199,0.26,0.8,0.15,0.37,0.13,0.68,182.1,943,2.32,8.6,89.4,11.8,194,21.9,34.9,491,363,1.65,0.67,0.15,6.2,BD
45.46553,-122.6821,0.17,0.44,0.16,0.35,0.14,1.14,159.8,1470,2.83,16.7,91.4,8.3,171,23.8,62.4,665,648,3.08,0.81,0.23,6.6,BD
45.4724,-122.62719,0.19,0.48,0.14,0.41,0.08,0.61,27.6,516,5.24,10.1,40.4,5.4,108,21.8,16.1,281,371,1.64,0.46,0.22,3.1,BD
45.46626,-122.74806,0.2,0.46,0.15,0.43,0.11,0.77,57.9,1383,1.51,10.2,69.3,5.2,121,33,38.2,494,337,2.05,0.77,0.13,3.7,BD
45.49599,-122.74435,0.23,0.74,0.19,0.31,0.12,0.44,85.9,610,0.99,5.9,46.3,13.6,153,24.4,22.3,246,215,1.4,0.33,0.09,2.3,BD
45.58397,-122.74148,0.26,0.69,0.18,0.56,0.15,0.87,58.6,1358,2.46,16.6,67.2,17.5,179,24.4,34,528,439,4.42,0.66,0.27,10.3,BD
45.47476,-122.52541,0.17,0.49,0.15,0.67,0.14,0.42,26.1,983,2.16,40.1,157.4,16.2,160,52.9,48.2,850,24,1.95,0.53,0.14,3.7,0.49
45.49579,-122.74427,0.14,0.43,0.16,0.37,0.1,0.45,220.9,730,1.41,8,60.3,6.2,137,27.8,24.4,308,312,1.55,0.45,0.12,3,BD
45.47883,-122.70946,0.23,0.51,0.18,0.39,0.12,0.51,36,635,1.21,14.4,43.7,11,134,23.3,36.4,304,197,1.28,0.34,0.16,2.6,BD
45.44025,-122.70269,0.17,0.49,0.3,0.35,0.1,0.46,381.5,535,2.08,6.1,34.4,11.8,102,28.3,43.8,249,282,1.15,0.31,0.1,1.7,BD
45.43338,-122.63999,0.19,0.57,0.15,0.55,0.14,0.76,69.6,2110,3.33,11.7,87,17.5,154,39,47.1,889,631,2.5,1.12,0.31,6.1,BD
45.50064,-122.6113,0.19,0.66,0.14,0.59,0.15,0.94,122.2,1402,4.02,15,71.5,24.8,169,29.7,41.8,675,726,2.56,0.75,0.19,8.4,0.41
45.53769,-122.55425,0.3,0.72,0.21,0.53,0.15,0.74,35.6,1137,2.8,16.4,47.3,29.6,195,36.8,64.6,578,368,2.48,0.68,0.35,4.2,BD
45.52412,-122.59906,0.19,0.5,0.2,0.52,0.1,0.58,23.1,660,1.83,14.7,40.7,18.4,48,36.8,32.6,360,385,1.42,0.41,0.27,5.6,BD
45.49306,-122.6722,0.27,0.67,0.25,0.7,0.18,1.27,86.6,2383,3.12,22.8,86.5,65.5,157,32.7,43.8,1019,920,4.16,1.31,0.29,5.4,0.41
45.4929,-122.73293,0.22,0.63,0.14,0.4,0.11,0.46,202.8,927,1.65,8.2,49.7,6.3,184,34.4,62.5,488,622,2.15,0.5,0.17,3.7,BD
45.49339,-122.54821,0.17,0.52,0.14,0.56,0.12,0.66,81.4,1392,3.11,10.8,54.6,17.7,148,40.2,69.9,699,501,2.59,0.83,0.22,6.5,0.41
45.48123,-122.71861,0.11,0.33,0.09,0.54,0.09,0.4,28.3,787,1.41,6.2,41.3,10.9,75,34.5,37.8,406,349,1.76,0.44,0.12,3.8,BD
45.50905,-122.51736,0.22,0.92,0.18,0.31,0.1,0.34,140.3,757,1.44,8.5,85.9,19.5,217,25.8,43.9,433,335,1.24,0.51,0.18,4,BD
45.56034,-122.63946,0.18,0.64,0.18,0.52,0.12,0.58,27.5,661,1.33,13.5,79.6,18.9,166,27.5,30.4,328,317,1.39,0.44,0.28,6.4,BD
45.49884,-122.65847,0.2,0.5,0.15,0.53,0.15,1.31,88.2,1639,3.49,15.8,124.4,16.5,134,37.6,56.2,690,409,3.21,0.92,0.44,9.3,0.37
45.54955,-122.6542,0.24,0.56,0.15,0.73,0.16,0.87,41.1,1249,2.03,25.9,75,24.4,103,48.2,65.3,618,199,2.5,0.67,0.58,12.7,BD
45.54955,-122.6555,0.22,0.74,0.19,0.51,0.14,0.64,38.5,917,1.67,24.7,58.8,28.8,157,27.9,37.4,443,306,1.75,0.59,0.37,8.1,BD
45.54661,-122.67006,0.14,0.49,0.13,0.4,0.13,1.33,88.9,1435,2.5,15.2,73.5,23.7,116,26.6,42.6,569,552,2.35,0.69,0.65,12.2,BD
45.55684,-122.77936,0.15,0.45,0.14,0.3,0.12,0.68,106.3,1023,1.66,8.2,56.6,3.9,148,21.7,38.7,429,410,1.85,0.59,0.17,4.9,BD
45.52099,-122.52939,0.17,0.46,0.14,0.63,0.15,0.64,48.4,1069,2.4,14.4,52.8,23.7,61,43.2,47.6,679,535,2.07,0.64,0.18,6.2,BD
45.51567,-122.76734,0.23,0.61,0.23,0.44,0.08,0.4,21.9,616,0.83,16.7,24.1,20.8,139,31.3,28.7,287,311,1.23,0.34,0.07,1.4,BD
45.59534,-122.8233,0.26,0.56,0.15,0.35,0.12,0.42,135.9,910,1.73,8.7,36.1,3.1,156,29,39.8,511,504,1.5,0.57,0.11,2.4,BD
45.57382,-122.67631,0.31,0.67,0.16,0.63,0.19,1.32,91.1,1694,3.26,57.1,139.9,20.1,158,32.7,53.4,676,344,4.9,0.78,0.4,14.9,0.4
45.45042,-122.6722,0.18,0.44,0.15,0.43,0.11,0.66,121.3,836,1.9,10.4,65.2,8.9,108,25,44.4,398,458,2.06,0.49,0.33,4.9,BD
45.45076,-122.7179,0.18,0.6,0.22,0.42,0.1,0.55,25.7,732,1.32,15.8,30,18.4,162,34.6,29.8,366,505,1.64,0.45,0.11,2.1,BD
45.5965,-122.76447,0.22,0.55,0.22,0.47,0.16,1.23,97.4,1909,3.28,29.9,138.6,11.2,192,22.4,30.5,602,525,6.21,0.85,0.42,13.8,0.24
45.47902,-122.63369,0.17,0.43,0.18,0.45,0.12,0.77,102,879,3.81,11.5,52.6,25.5,90,21,41.6,433,382,1.99,0.58,0.34,4.2,BD
45.59518,-122.82254,0.2,0.55,0.14,0.35,0.1,0.46,208.1,667,1.41,7.3,26.1,4.2,154,35.7,37.2,331,384,1.34,0.39,0.08,2.4,BD
45.48082,-122.55965,0.17,0.44,0.11,0.54,0.11,0.7,32.5,1154,3.83,12.7,63.2,10.9,108,37.5,48.2,616,669,2.45,0.87,0.21,5,0.32
45.48571,-122.57693,0.17,0.52,0.12,0.65,0.13,0.76,65.6,1174,3.73,11.8,54.1,24.7,138,45.5,70.6,568,411,2.43,0.73,0.2,6.8,BD
45.49038,-122.53257,0.28,0.6,0.22,0.48,0.1,0.54,58,1000,2.18,8.8,184.6,21.7,131,34.6,46.1,555,624,1.82,0.64,0.23,4.9,0.27
45.53446,-122.7147,0.28,0.55,0.21,0.55,0.13,0.99,75.7,1187,2.85,16.3,113.5,25.8,66,32.9,72,474,506,3.38,0.65,0.37,12.9,BD
45.49498,-122.51519,0.16,0.36,0.23,0.47,0.09,0.48,52.9,1253,2.02,10.9,45.8,14.8,108,45.7,64,827,839,1.86,0.72,1.11,4.5,0.37
45.44293,-122.66765,0.18,0.42,0.13,0.41,0.1,0.75,79.7,1087,2.23,10.3,63.8,3.8,96,21.3,26.3,495,479,2.25,0.68,0.2,4.6,BD
45.55805,-122.58105,0.25,0.59,0.15,0.51,0.12,0.65,107.8,874,1.98,13.1,56,19.3,148,36.5,56.1,392,322,1.64,0.51,0.33,4.8,BD
45.50624,-122.55455,0.25,0.55,0.17,0.53,0.13,0.61,54.3,1232,3.51,10.5,58.7,13.9,125,31.7,44.5,640,460,2.49,0.89,0.32,3.8,BD
45.48894,-122.58215,0.16,0.56,0.2,0.38,0.11,0.82,132.2,1300,4.78,16.8,78,12.5,176,25,41.5,719,481,2.54,0.88,0.22,6.6,0.48
45.55537,-122.63473,0.28,0.63,0.19,0.62,0.17,1.07,40.5,1457,2.26,28.5,133.3,28.7,147,34.3,62.8,637,306,2.99,0.77,0.62,10.9,0.43
45.45931,-122.65157,0.23,0.5,0.15,0.63,0.11,0.73,30.3,862,2.11,10.6,72.1,22.3,114,39.6,48.8,477,556,2.03,0.49,0.4,15.2,BD
45.48274,-122.5741,0.24,0.5,0.18,0.43,0.11,0.72,52.3,1282,3.47,10.9,54,14.9,144,26.1,47.7,697,599,2.42,0.87,0.18,6.8,BD
45.44538,-122.70971,0.2,0.44,0.13,0.41,0.11,0.62,152.6,1097,1.74,11.3,75.3,4.5,76,30.2,63.6,473,367,2.02,0.62,0.13,4.6,BD
45.50937,-122.6774,0.3,0.56,0.18,0.52,0.15,1.7,143.8,1739,3.27,23.7,129.9,16.5,104,32.9,58.5,663,459,4.07,0.85,0.36,7.4,0.25
45.47245,-122.70355,0.24,0.64,0.31,0.65,0.15,0.65,60,1776,2.01,10,46.8,46,86,53.6,57.2,625,539,2.93,1,0.23,3.5,0.31
45.5431,-122.59541,0.2,0.6,0.19,0.33,0.14,0.66,37.7,875,2.02,11.3,47.3,8.7,153,20.3,25.3,470,344,1.67,0.52,0.21,11.6,BD
45.53578,-122.63135,0.2,0.51,0.13,0.42,0.12,0.94,99.1,1063,2.14,15.7,79.2,9.3,64,28.1,43.6,477,270,2.1,0.56,0.29,7.1,0.27
45.45516,-122.56026,0.26,0.54,0.23,0.6,0.11,0.64,37,696,2.95,11.6,32.2,32.7,133,61.5,86.5,315,268,1.43,0.61,0.12,1.7,BD
45.49736,-122.4845,0.21,0.48,0.17,0.48,0.12,0.64,69.2,1377,2.02,10.6,80.3,12,138,44.9,72.7,735,426,2.36,0.81,0.26,6.5,0.35
45.55718,-122.60689,0.14,0.45,0.13,0.5,0.13,0.81,117.4,934,2.42,13.2,46.9,13.4,150,24.4,46.6,421,407,1.79,0.53,0.23,8.2,0.27
45.56016,-122.64085,0.21,0.44,0.13,0.36,0.14,0.76,44.2,1030,1.98,20.6,153.9,5.8,143,21.6,35.6,443,232,2.04,0.57,0.32,10.8,BD
45.52059,-122.69917,0.18,0.48,0.13,0.59,0.12,1.14,51.8,1079,2.09,14.7,144.2,11.7,65,34,60.2,475,458,2.89,0.56,0.2,7.9,BD
45.49545,-122.50062,0.26,0.6,0.18,0.49,0.14,0.81,124.1,2109,2.85,12.9,74.6,22.9,248,45.2,61.5,1148,925,3.68,1.04,0.18,6.1,0.25
45.50672,-122.55975,0.31,0.64,0.17,0.42,0.13,0.77,72.1,1028,2.42,12.1,49.8,15.8,115,34.7,57.5,570,391,1.79,0.65,0.18,4.7,BD
45.47032,-122.64999,0.15,0.38,0.11,0.45,0.1,0.79,41.6,1096,2.68,13.2,49.9,7.7,126,37.9,35,502,364,2.28,0.71,0.34,6.1,0.24
45.49011,-122.53269,0.29,0.69,0.25,0.48,0.09,0.45,43.4,740,2.01,8.7,33.1,13.9,109,31.4,40,445,552,1.56,0.53,0.11,2.6,BD
45.59994,-122.74126,0.24,0.58,0.24,0.56,0.15,2.13,147.9,1780,3.54,12.1,80.6,32.3,166,26.8,39.7,519,522,7.48,0.7,0.21,7,BD
45.45653,-122.56993,0.28,0.71,0.29,0.45,0.14,1.24,39.9,881,5.16,17.9,71,13.8,149,28.3,35.7,376,328,2.15,0.95,0.15,3.1,BD
45.43562,-122.75134,0.19,0.4,0.21,0.4,0.12,1.1,250.8,1320,1.88,13,114.6,12.8,138,22.7,43.8,504,517,2.52,0.7,0.13,3.7,BD
45.55375,-122.68817,0.24,0.6,0.19,0.59,0.13,1.19,99.3,1284,2.7,14.4,62.3,23.9,153,36.4,72.4,547,511,3.12,0.66,0.35,10.1,0.32
45.48013,-122.59011,0.24,0.57,0.1,0.46,0.13,0.47,24.5,609,4,7.7,34.9,6.7,109,28.7,21.5,311,198,1.58,0.52,0.15,3.7,BD
45.44671,-122.74477,0.22,0.75,0.15,0.46,0.1,0.56,222.2,682,1.3,7.1,42.7,13.6,198,30.9,47.1,313,199,1.53,0.4,0.19,1.9,0.57
45.4905,-122.62877,0.27,0.55,0.15,0.36,0.11,0.95,44,782,3.35,11.6,51.2,7.3,123,25.6,31.2,370,216,1.68,0.48,0.2,5.2,0.36
45.59107,-122.74757,0.21,0.6,0.14,0.58,0.14,0.97,97.6,1348,2.65,12.8,74.8,18.1,169,28,58.1,512,391,4.01,0.62,0.33,8.4,0.25
45.52137,-122.6984,0.43,0.62,0.24,0.74,0.24,2.26,102.8,2571,4.08,43.9,148.4,33.5,154,59.3,90.4,942,530,6.33,1.25,0.97,14.4,0.4
45.48665,-122.69424,0.1,0.38,0.11,0.6,0.11,0.87,53.3,953,1.89,249.5,45,12.7,110,41.6,49.7,486,145,2.15,0.48,0.28,5.3,0.63
45.4471,-122.74476,0.16,0.45,0.12,0.41,0.1,0.65,166.3,728,1.2,5.7,41,5.5,142,24.9,41.7,322,200,1.52,0.42,0.12,2.2,0.29
45.44681,-122.69329,0.21,0.51,0.14,0.3,0.09,0.55,149.2,619,1.64,6.3,35.4,6.2,104,22.2,25.8,297,137,1.47,0.37,0.11,2.5,BD
45.5481,-122.54804,0.23,0.59,0.23,0.65,0.16,1.04,54.2,1502,2.02,17.1,88.4,41.9,136,57,84,650,530,2.62,0.73,0.27,4.5,0.29
45.56447,-122.6484,0.29,0.68,0.23,0.58,0.13,0.72,53.8,876,1.33,15,35.7,38.7,103,92.2,45.8,568,487,1.84,0.38,0.19,5.5,0.36
45.58055,-122.7291,0.2,0.59,0.21,0.76,0.13,1.26,53.6,905,2.41,17.8,55.7,34.8,91,63.2,110,353,294,2.84,0.43,0.42,10,BD
45.55243,-122.59547,0.2,0.48,0.12,0.64,0.13,0.58,31.7,976,1.83,15.7,44.6,20.6,123,40.2,40.2,433,295,1.78,0.56,0.82,4.8,BD
45.55995,-122.66825,0.16,0.48,0.17,0.67,0.16,1.27,46.4,1652,2.88,38,94,29,144,42,51.2,653,410,3.84,0.85,0.52,10.8,0.35
45.48458,-122.60857,0.18,0.57,0.11,0.49,0.11,1.07,156.7,1051,7.81,13.4,56.7,10.9,134,28.9,54.2,470,247,2.81,0.77,0.13,6.7,0.29
45.4528,-122.6188,0.18,0.37,0.13,0.57,0.1,1.24,26.7,808,8.96,8.9,39.1,14.5,77,35.2,30.7,368,365,2.08,0.7,0.13,2.9,BD
45.505,-122.73208,0.21,0.49,0.18,0.48,0.12,0.42,59.3,921,2.2,10.6,63.2,7,112,18.1,34,458,621,1.99,0.57,0.17,4.3,BD
45.44176,-122.73767,0.18,0.44,0.14,0.41,0.11,0.78,147.9,837,1.36,8.8,58.6,8.2,141,39.9,58.4,375,246,1.65,0.45,0.14,3.4,BD
45.53647,-122.62751,0.23,0.6,0.2,0.48,0.13,0.75,39.8,1230,1.93,16,65.4,22.7,136,32.4,42,563,591,2.48,0.66,0.39,10.2,BD
45.5089,-122.61925,0.34,0.68,0.23,0.61,0.16,0.54,179.4,915,2.63,13.3,53.4,45,143,41.1,79.2,525,670,2.08,0.59,0.22,10.7,BD
45.48285,-122.48777,0.11,0.28,0.08,0.7,0.1,0.46,39.9,1673,1.74,9.3,51.3,9.2,126,69.9,54.4,1041,697,2.11,0.91,0.16,5.1,BD
45.48326,-122.69262,0.2,0.52,0.16,0.68,0.14,0.73,68.1,1388,2.35,12.6,60,30.1,153,49.6,52.5,545,385,2.8,0.74,0.23,4.2,0.29
45.5044,-122.70728,0.18,0.51,0.17,0.45,0.14,0.75,50.1,1046,1.94,14,72.5,9.1,200,26.7,44.4,484,584,2.78,0.58,0.2,4.5,BD
45.45372,-122.54464,0.16,0.37,0.14,0.32,0.09,0.43,54.5,508,2.72,72.9,73.6,3.5,90,29.3,30,269,252,1.52,0.48,0.08,5.9,BD
45.53565,-122.76608,0.25,0.45,0.22,0.77,0.13,0.52,73.8,589,1.39,8.7,81.2,29.6,130,99.8,80.5,300,495,1.62,0.54,0.25,1.7,BD
45.48117,-122.67374,0.14,0.46,0.13,0.65,0.15,1.67,151.2,1811,2.7,21.1,109.6,21.9,152,37.4,58.8,698,417,3.64,0.92,0.25,6.5,0.38
45.49099,-122.5906,0.2,0.45,0.11,0.62,0.14,0.68,26.7,957,5.09,18.1,78.9,15,134,47.9,65,533,239,2.11,0.7,0.3,6.1,0.47
45.53711,-122.69246,0.28,0.63,0.22,0.76,0.16,2.84,101.1,2093,5.58,26.1,98.6,46.4,188,43.1,82.6,742,472,5.89,0.98,0.84,8.2,0.33
45.4519,-122.58316,0.13,0.4,0.12,0.61,0.1,0.67,151.3,1130,5.51,8.7,52.1,12.3,92,49.5,82.9,562,470,2.47,1.01,0.2,7,BD
45.45068,-122.71718,0.28,0.51,0.23,0.46,0.17,0.82,174.5,1557,2.66,12.7,73.1,18.9,164,42.4,62.3,859,501,3.05,0.94,0.33,4.1,0.33
45.49494,-122.47893,0.28,0.64,0.21,0.71,0.1,0.51,43.6,918,1.29,9.3,30.4,23,163,49,119.3,543,500,1.55,0.52,0.2,1.8,0.51
45.48127,-122.52397,0.22,0.47,0.17,0.46,0.1,0.56,31,886,1.99,8.8,45.1,9.2,116,81,49.9,496,338,1.64,0.61,0.19,3.1,0.37
45.54061,-122.56555,0.18,0.52,0.15,0.53,0.12,0.61,39,852,2.25,9.3,60.4,10,105,55.8,23.4,439,517,1.66,0.6,0.26,3.5,BD
45.47443,-122.70737,0.16,0.41,0.15,0.38,0.1,0.58,70.2,1585,1.8,8.1,47.7,7.1,148,26,29.9,656,360,2.43,0.98,0.19,3.7,BD
45.53584,-122.78024,0.23,0.56,0.13,0.31,0.08,0.5,216,630,0.92,8.9,58.9,2.8,219,12.8,27.2,293,549,1.2,0.44,0.16,2,0.33
45.5161,-122.60221,0.25,0.65,0.19,0.72,0.19,0.82,56.5,1449,3.95,23.4,63.9,45.9,212,46.6,68.8,711,749,3.18,0.82,0.92,8.5,0.38
45.47538,-122.73318,0.23,0.54,0.14,0.4,0.1,0.48,84.5,685,1.29,8.3,48.2,7,121,24.7,38.9,333,179,1.51,0.43,0.3,3.1,BD
45.50562,-122.74868,0.29,0.46,0.17,0.43,0.16,0.81,449.8,1259,3.11,13,115.2,18.5,140,28.2,42.7,565,455,2.75,0.88,0.25,6.6,0.67
45.54665,-122.57104,0.2,0.56,0.13,0.67,0.14,0.61,29.4,838,2.13,64.8,73.1,25.4,128,53.5,47.2,396,367,1.89,0.49,0.25,6.6,0.43
45.53662,-122.62843,0.28,0.59,0.19,0.56,0.14,0.76,81.1,1171,2.57,19,88.9,34.6,153,38,47.4,557,596,2.87,0.71,1.2,11.9,0.46
45.50535,-122.52877,0.27,0.51,0.17,0.48,0.11,0.39,30.3,704,1.79,11.4,48.1,13.3,150,30.4,40.5,445,593,1.5,0.52,0.22,2.6,0.54
45.54043,-122.49921,0.22,0.58,0.17,0.37,0.12,0.66,44.5,958,1.85,10.6,61.5,8.1,209,28.1,34.8,451,315,1.83,0.58,0.16,3.5,0.26
45.42379,-122.69823,0.21,0.58,0.25,0.51,0.12,1.15,47.1,1387,2.09,25.5,100.3,15.7,171,32.9,67.1,572,654,2.72,0.79,0.17,3,BD
45.60517,-122.65903,0.29,0.62,0.21,0.39,0.19,1.44,39,1112,2.43,28.2,61.4,16,154,18.3,21.6,410,429,2.25,0.54,0.42,5.8,BD
45.43382,-122.73524,0.23,0.5,0.15,0.44,0.1,0.55,191,677,1.56,6.9,52,7.1,106,28.7,41.3,299,258,1.41,0.43,0.19,2.2,BD
45.59477,-122.65171,0.27,0.59,0.29,0.85,0.18,1.45,67.8,1774,3.59,59.2,151.3,83.6,108,40.1,41.1,679,569,3.67,1.05,1.32,9.5,0.46
45.52682,-122.51866,0.21,0.49,0.27,0.75,0.15,0.55,43.1,1067,2.2,16.2,73.9,17.1,144,39.8,39.6,568,620,2.34,0.64,1.09,4,0.28
45.51716,-122.64627,0.16,0.63,0.22,0.45,0.14,0.75,88.3,1083,3.17,16,130.2,64.9,278,32.6,57.4,543,603,2.54,0.73,0.9,18.5,0.35
45.42505,-122.72501,0.23,0.52,0.21,0.52,0.11,0.58,35.2,726,1.39,14.3,36.7,20.1,140,47.9,36.6,321,287,1.4,0.38,0.13,1.8,0.28
45.58378,-122.73971,0.22,0.57,0.2,0.64,0.16,1.39,66.4,1591,2.96,17,68.1,26.3,151,37.6,103.7,624,594,4.61,0.71,0.26,7.9,0.47
45.46504,-122.62616,0.32,0.82,0.17,0.63,0.16,1.07,94.7,1531,6.74,16,70,53.4,135,31,61.6,775,423,3.32,1,0.78,7.1,0.29
45.48326,-122.69262,0.18,0.58,0.18,0.67,0.14,0.68,60.5,1179,1.99,10.4,54.3,31.8,198,48.9,44.9,474,342,2.13,0.64,0.2,3.3,BD
45.47962,-122.59075,0.14,0.45,0.19,0.49,0.12,1.14,61,1513,7.28,15.3,104.9,15.2,139,40.3,55.2,776,351,3.3,1.06,0.26,12.3,0.48
45.47973,-122.52852,0.23,0.43,0.12,0.42,0.1,0.48,58.7,777,2.35,6.7,43.7,4.6,107,30.6,46.7,467,303,1.86,0.57,0.3,4.2,0.4
45.45275,-122.6049,0.31,0.61,0.16,0.59,0.14,1.15,40.7,750,11.83,8.1,39.2,26.5,153,31.5,41.3,384,396,2.6,0.86,0.33,2.7,BD
45.46562,-122.74958,0.18,0.37,0.15,0.46,0.11,1.18,120.1,2529,2.84,16.2,141.4,5.4,100,35.7,63.6,1161,673,3.62,1.54,0.24,13,0.27
45.51722,-122.64707,0.29,0.69,0.15,0.71,0.17,0.86,51.3,1033,2.01,37.5,164.5,56,174,51.9,86.4,482,647,2.41,0.58,0.67,9.3,0.38
45.48037,-122.46949,0.16,0.45,0.16,0.33,0.1,0.57,55.4,1052,1.75,10.7,63,3.1,163,19.2,23.4,525,432,1.81,0.64,0.12,2.8,0.51
45.48019,-122.4705,0.3,0.7,0.25,0.59,0.14,0.83,37.9,1088,1.49,15.3,70.3,29.8,152,43.4,73.1,616,484,1.56,0.64,0.19,2.3,0.38
45.54647,-122.57101,0.35,0.69,0.18,0.54,0.15,0.68,63.2,890,2.39,13.2,57,31.5,150,30.9,46,408,366,1.86,0.48,0.55,3.6,0.35
45.55514,-122.63496,0.2,0.57,0.19,0.53,0.14,0.75,145.7,905,1.92,17.8,55.3,27.7,144,22.2,43.7,440,687,1.86,0.47,0.28,10.3,BD
45.50918,-122.58902,0.32,0.62,0.17,0.75,0.14,0.56,40.7,986,2.99,13.3,60.7,38.8,111,40.6,52.7,548,673,2.18,0.61,0.23,3.9,0.27
45.52237,-122.67912,0.24,0.48,0.17,0.58,0.17,1.79,93.2,1589,3.97,26.6,131.5,18.8,173,35.7,63.3,602,649,4.38,0.89,0.45,17.3,BD
45.47907,-122.62067,0.16,0.36,0.13,0.47,0.12,1.55,53.9,2013,13.81,18.2,105.7,5.2,139,30,41.9,901,325,4.4,1.35,0.26,20,0.3
45.46626,-122.74806,0.22,0.47,0.15,0.45,0.12,0.86,55.9,1484,1.66,11.4,72.6,5.6,125,35.1,39.1,543,511,2.48,0.82,0.15,3.8,BD
45.50117,-122.64471,0.22,0.52,0.15,0.76,0.16,0.98,39.5,1116,2.97,31.3,179.4,101.2,134,47.8,77.5,573,572,3.09,0.81,4.38,9,0.95
45.52084,-122.71061,0.25,0.51,0.19,0.52,0.12,0.68,52.5,1025,1.94,14.2,93.6,14.7,177,27.5,63.8,463,616,2.86,0.59,0.31,11.7,BD
45.53499,-122.67268,0.27,0.59,0.18,0.7,0.2,2.89,109.9,2819,5.18,26.6,159.9,44.2,235,40.4,70.7,1097,670,6.21,1.54,1.15,12.9,0.48
45.49927,-122.72348,0.25,0.53,0.17,0.47,0.15,0.63,175.2,1189,2.04,10.5,84.8,6.7,133,41,45.8,480,204,2.5,0.56,0.61,5,0.37
45.46725,-122.63049,0.2,0.56,0.15,0.58,0.1,0.74,26,820,3.82,8.8,29.4,12.1,92,32,30.9,462,356,1.75,0.54,0.18,4.2,BD
45.51413,-122.51594,0.13,0.29,0.11,0.71,0.13,0.33,34,1362,2.27,12.5,40.1,16.5,117,40.4,45.7,741,877,2.13,0.75,0.13,4.1,0.81
45.58185,-122.70919,0.23,0.59,0.14,0.41,0.14,1.64,114.3,1388,3.76,14.9,65.5,10.5,177,21.4,47.9,515,393,4.28,0.64,0.26,5.8,0.28
45.43225,-122.7221,0.24,0.42,0.15,0.36,0.15,0.76,252.1,1070,2.01,10.6,67.6,7.9,104,32.9,53.4,487,402,2.15,0.62,0.21,4.1,BD
45.49096,-122.59018,0.22,0.65,0.2,0.46,0.11,0.76,122.2,609,4.49,9,41.6,15.2,181,28.7,35.4,330,229,1.5,0.52,0.15,4,0.38
45.5517,-122.55247,0.19,0.55,0.15,0.59,0.12,0.58,29.2,945,1.51,11,37.1,29,145,48,69.5,431,389,1.71,0.54,0.24,3.8,BD
45.45253,-122.74459,0.17,0.37,0.17,0.4,0.11,0.5,98.1,799,1.27,6.5,52.7,12.5,89,30.6,43.4,353,375,1.72,0.42,0.33,2.8,0.33
45.42253,-122.73292,0.22,0.42,0.2,0.5,0.12,0.74,109.1,898,1.35,12,81.3,12.7,110,31.9,47.8,377,345,1.71,0.47,0.13,2.4,0.41
45.48117,-122.67463,0.2,0.54,0.14,0.62,0.11,0.86,74.5,864,1.86,39.3,114.2,20.9,104,36.4,40.8,351,167,2.1,0.5,0.33,4.5,0.27
45.50142,-122.58172,0.19,0.48,0.1,0.75,0.1,0.4,30.8,1219,3,124.9,49.9,15.6,102,48.6,59.3,681,803,2.41,0.8,0.21,4.3,0.28
45.4953,-122.67195,0.29,0.64,0.21,0.75,0.17,1.74,74.7,2054,3.73,23.5,131.8,31.7,153,46.5,56.3,819,521,4.53,1.11,0.43,7.2,BD
45.53427,-122.59669,0.23,0.5,0.19,0.46,0.14,0.73,45.3,1170,3.02,16,66.2,13.3,206,38.1,40.9,579,590,2.74,0.66,0.26,6.8,BD
45.42985,-122.64429,0.1,0.33,0.08,0.69,0.11,0.59,24.5,869,2.39,14.6,36.9,15.3,110,37.8,32.7,447,412,1.71,0.45,0.25,3.3,0.42
45.54741,-122.64209,0.26,1.21,0.15,0.45,0.13,0.53,101.8,657,1.55,18.1,57.9,26.3,187,23.8,18.7,292,301,1.58,0.36,0.29,6,BD
45.46416,-122.69178,0.17,0.34,0.13,0.39,0.12,0.75,65.3,1188,2.26,16.7,129.9,4.4,129,35.5,47.3,593,560,2.53,0.64,0.26,9.6,BD
45.56452,-122.64922,0.19,0.53,0.17,0.54,0.12,0.64,64.5,602,1.29,12.7,35.1,24.6,124,34.2,48.3,320,391,1.33,0.29,0.17,7.4,0.25
45.52666,-122.64997,0.16,0.38,0.12,0.52,0.15,1.23,140.5,1615,4.23,24.4,87.7,14.3,154,49.9,53.8,711,727,3.42,0.85,0.46,10.9,0.42
45.57057,-122.66571,0.17,0.75,0.13,0.64,0.16,0.86,86.9,967,2.02,25.6,58.6,32,228,31.3,52.6,414,447,2.59,0.48,0.37,26.4,0.38
